time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,6.4,1.0,12.0,,,9.2,1019.0
2021-01-02,5.0,-1.3,12.4,0.0,64.0,5.5,1024.4
2021-01-03,3.7,-1.2,10.0,0.0,92.0,8.4,1024.7
2021-01-04,2.2,-4.7,10.0,0.0,73.0,9.7,1021.3
2021-01-05,4.8,2.0,8.0,5.0,85.0,13.8,1018.2
2021-01-06,2.7,0.0,5.0,0.0,91.0,11.0,1024.5
2021-01-07,4.8,3.8,6.1,0.0,92.0,14.8,1022.3
2021-01-08,7.2,3.2,16.0,0.0,88.0,11.0,1018.7
2021-01-09,8.2,4.7,12.0,3.3,81.0,11.4,1017.5
2021-01-10,9.4,6.2,13.0,2.4,69.0,4.7,1019.0
2021-01-11,10.4,5.0,18.0,0.0,166.0,7.7,1019.3
2021-01-12,12.9,7.0,19.0,0.0,120.0,12.2,1013.5
2021-01-13,4.8,0.5,13.4,18.6,346.0,8.0,1005.2
2021-01-14,1.3,-2.0,4.0,1.7,283.0,11.1,1006.3
2021-01-15,-2.0,-7.0,0.1,4.9,353.0,8.1,1011.3
2021-01-16,-4.0,-10.0,0.0,3.6,77.0,10.5,1009.2
2021-01-17,-2.7,-6.0,-1.7,3.7,277.0,19.9,1007.4
2021-01-18,-6.9,-13.0,-4.0,0.8,295.0,8.0,1017.3
2021-01-19,-12.8,-18.0,-5.0,0.0,353.0,1.1,1022.8
2021-01-20,-10.5,-16.0,-5.0,0.0,29.0,4.2,1027.8
2021-01-21,-4.3,-8.0,0.0,0.0,90.0,7.1,1033.1
2021-01-22,-1.3,-5.6,2.0,0.0,86.0,12.3,1030.1
2021-01-23,1.5,-2.1,5.0,0.0,81.0,15.2,1024.0
2021-01-24,4.6,0.8,11.0,0.0,108.0,14.3,1017.5
2021-01-25,7.4,4.7,11.0,1.9,138.0,13.3,1013.2
2021-01-26,9.4,5.0,13.0,0.0,132.0,14.3,1012.1
2021-01-27,6.7,-1.0,10.0,11.0,147.0,22.8,1001.8
2021-01-28,-1.5,-2.3,0.3,2.1,282.0,9.5,1009.1
2021-01-29,-2.2,-7.0,2.0,0.0,256.0,6.3,1013.9
2021-01-30,-0.5,-2.0,1.3,5.6,78.0,15.4,1007.1
2021-01-31,3.4,-2.0,10.0,0.2,56.0,9.3,1012.1
2021-02-01,7.3,3.0,15.1,0.0,99.0,18.1,1014.6
2021-02-02,9.3,4.0,14.8,0.0,104.0,10.8,1017.0
2021-02-03,7.5,0.0,15.0,0.0,77.0,4.6,1018.3
2021-02-04,6.1,-2.0,16.0,0.0,330.0,4.3,1017.9
2021-02-05,7.2,1.4,15.0,0.0,277.0,5.5,1021.0
2021-02-06,5.2,-3.0,16.0,0.0,37.0,3.0,1019.7
2021-02-07,6.6,-3.0,17.0,0.0,64.0,4.1,1018.2
2021-02-08,10.2,5.5,19.0,0.1,105.0,10.3,1014.6
2021-02-09,11.5,6.0,17.0,0.1,237.0,12.9,1015.1
2021-02-10,8.4,4.0,14.0,0.2,225.0,9.9,1015.8
2021-02-11,8.8,1.0,17.4,0.0,133.0,11.7,1014.1
2021-02-12,4.0,-0.4,8.7,1.4,284.0,13.8,1015.7
2021-02-13,0.7,-1.8,5.3,0.3,349.0,4.8,1024.6
2021-02-14,1.2,-2.1,6.7,3.8,33.0,10.9,1018.8
2021-02-15,-2.8,-4.9,-0.6,9.8,332.0,14.0,1020.0
2021-02-16,-4.4,-6.1,-0.7,1.8,352.0,13.3,1019.1
2021-02-17,-5.1,-8.2,-1.5,0.3,325.0,12.9,1020.6
